327 0 3
90 65 34 17
90 66 80 17
90 67 126 17
8 61 0 16
8 61 1 16
8 61 2 16
8 61 3 16
8 61 4 16
8 61 5 16
8 61 6 16
8 61 7 16
8 61 8 16
8 61 9 16
8 61 10 16
8 61 11 16
8 61 12 16
8 61 13 16
8 61 14 16
8 61 15 16
8 61 16 16
8 61 17 16
8 61 18 16
8 61 19 16
8 61 20 16
8 61 21 16
8 61 22 16
8 61 23 16
8 61 24 16
8 61 25 16
8 61 26 16
8 61 27 16
8 61 28 16
8 61 29 16
8 61 30 16
8 61 31 16
8 61 32 16
8 61 33 16
8 61 34 16
8 61 35 16
8 61 36 16
8 61 37 16
8 61 38 16
8 61 39 16
8 61 40 16
8 61 41 16
8 61 42 16
8 61 43 16
8 61 44 16
8 61 45 16
8 61 46 16
8 61 47 16
8 61 48 16
8 61 49 16
8 61 50 16
8 61 51 16
8 61 52 16
8 61 53 16
8 61 54 16
8 61 55 16
8 61 56 16
8 61 57 16
8 61 58 16
8 61 59 16
8 61 60 16
8 61 61 16
8 61 62 16
8 61 63 16
8 61 64 16
8 61 65 16
8 61 66 16
8 61 67 16
8 61 68 16
8 61 69 16
8 61 70 16
8 61 71 16
8 61 72 16
8 61 73 16
8 61 74 16
8 61 75 16
8 61 76 16
8 61 77 16
8 61 78 16
8 61 79 16
8 61 80 16
8 61 81 16
8 61 82 16
8 61 83 16
8 61 84 16
8 61 85 16
8 61 86 16
8 61 87 16
8 61 88 16
8 61 89 16
8 61 90 16
8 61 91 16
8 61 92 16
8 61 93 16
8 61 94 16
8 61 95 16
8 61 96 16
8 61 97 16
8 61 98 16
8 61 99 16
8 61 100 16
8 61 101 16
8 61 102 16
8 61 103 16
8 61 104 16
8 61 105 16
8 61 106 16
8 61 107 16
8 61 108 16
8 61 109 16
8 61 110 16
8 61 111 16
8 61 112 16
8 61 113 16
8 61 114 16
8 61 115 16
8 61 116 16
8 61 117 16
8 61 118 16
8 61 119 16
8 61 120 16
8 61 121 16
8 61 122 16
8 61 123 16
8 61 124 16
8 61 125 16
8 61 126 16
8 61 127 16
8 61 128 16
8 61 129 16
8 61 130 16
8 61 131 16
8 61 132 16
8 61 133 16
8 61 134 16
8 61 135 16
8 61 136 16
8 61 137 16
8 61 138 16
8 61 139 16
8 61 140 16
8 61 141 16
8 61 142 16
8 61 143 16
8 61 144 16
8 61 145 16
8 61 146 16
8 61 147 16
8 61 148 16
8 61 149 16
8 61 150 16
8 61 151 16
8 61 152 16
8 61 153 16
8 61 154 16
8 61 155 16
8 61 156 16
8 61 157 16
8 61 158 16
8 61 159 16
8 61 160 16
8 61 161 16
8 61 162 16
8 61 163 16
8 61 164 16
8 61 165 16
8 61 166 16
8 61 167 16
8 61 168 16
2 124 5 15
2 47 7 15
2 92 3 15
2 124 5 14
4 124 161 15
4 124 162 15
4 124 161 14
4 124 162 14
4 124 161 13
4 124 162 13
4 124 161 12
4 124 162 12
4 47 164 11
4 47 165 10
4 92 160 10
4 92 159 10
4 92 159 11
4 124 162 11
4 124 162 10
4 92 158 11
4 92 157 10
4 92 160 12
4 47 163 12
4 47 165 11
4 47 167 10
6 42 161 11
6 42 159 12
6 42 164 12
6 42 166 11
6 42 158 10
6 42 164 10
6 42 161 10
6 42 157 11
6 42 165 15
6 42 158 15
6 42 166 15
4 47 168 9
4 47 169 8
4 47 171 7
4 47 169 7
4 47 165 9
4 47 166 8
4 47 166 7
4 124 162 9
4 124 162 8
4 124 163 7
4 124 161 9
4 92 160 9
4 92 159 8
4 92 158 8
4 92 157 7
4 92 157 9
4 92 156 9
4 92 155 8
4 92 155 10
4 92 154 10
4 92 152 9
4 92 151 8
4 47 158 6
4 47 164 6
4 47 155 7
2 119 163 10
2 119 168 10
2 119 169 9
2 119 167 9
2 119 167 8
2 119 164 9
2 119 161 8
2 119 162 6
2 119 160 7
2 119 161 7
2 119 163 8
2 119 165 6
2 119 164 7
2 119 157 8
2 119 156 8
2 119 154 8
2 119 153 9
2 119 155 9
2 119 156 11
2 119 156 10
2 119 163 9
2 119 159 9
2 119 167 7
2 119 170 7
2 119 172 6
2 119 151 7
2 119 153 8
2 119 152 8
2 119 150 8
2 119 152 7
2 119 172 8
2 119 171 8
2 119 171 9
2 119 173 8
2 119 173 7
2 119 174 7
2 119 170 5
2 119 166 4
2 119 165 4
2 119 163 5
2 119 160 5
2 119 160 4
2 119 159 4
2 119 158 4
2 119 157 4
2 119 154 5
2 119 154 6
2 119 154 7
2 119 155 5
2 119 155 4
2 119 152 5
2 119 151 6
2 119 156 4
2 119 163 3
2 119 162 4
2 119 162 3
2 119 160 3
2 119 167 3
2 119 170 4
2 119 171 4
2 119 171 5
2 119 172 5
2 119 169 5
2 119 168 5
2 119 167 6
2 119 166 5
2 119 167 4
2 119 161 3
2 119 161 4
2 119 162 5
2 119 159 5
2 119 158 5
2 119 156 3
2 119 166 6
2 119 168 6
2 119 169 6
2 119 153 10
2 119 152 10
2 119 155 11
2 119 151 9
2 119 168 11
2 119 167 11
2 119 169 10
2 119 153 4
2 119 153 6
2 119 159 6
2 119 156 6
44 101 162 17
44 101 163 17
44 84 160 17
44 114 161 17
4 42 2 14
6 42 5 13
11 42 8 14
